permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,primary_category,funding_total_usd_clean,market_share,industry_hhi,clustering_coefficient,degree_centrality,weak_tie_ratio,num_investors,working_capital,breakout_velocity
/organization/1lay,1Lay,http://1lay.com,Mobile|Mobile Devices|Mobile Security|Security|Tablets,212000,operating,,,,,2,2013-07-18,2014-05-30,2015-11-02,1,Mobile Devices,212000.0,0.0005175500868251303,0.34326695617911546,0.0,0.0,0.0,0.0,12.264346270624157,0.0
/organization/1ring,1Ring,http://www.1ring.com,Advertising|Contests|Curated Web|Games|Mobile|Music|News|Sales and Marketing|Startups|Television,-,operating,,,,,1,2009-05-01,2011-02-21,2011-02-21,1,Contests,0.0,0.0,1.0,0.05435388560597614,39.0,0.0510204081632653,1.0,0.0,0.0
/organization/1sdk,1SDK,http://www.1sdk.com,Mobile|Mobile Analytics|Predictive Analytics|SaaS,156000,operating,,,,,2,2013-01-25,2013-08-05,2013-09-02,1,Mobile Analytics,156000.0,0.0018128455446299332,0.501415070562332,0.13936893745122086,100.0,0.01996007984031936,1.0,11.957617696467539,0.4666952885433549
/organization/1stdibs,1stdibs,http://www.1stdibs.com,E-Commerce,117000000,operating,USA,NY,New York City,New York,5,2001-01-01,2011-11-03,2015-09-09,1,Unknown,117000000.0,0.00054842378288504,0.0014423226788110742,0.4172705987289553,1497.0,0.006675567423230976,9.0,18.57768450130904,10.838410079594757
/organization/1stgig-com,1stGig.com,http://www.1stgig.com,E-Commerce,750000,operating,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01,1,Unknown,750000.0,3.515537069775897e-06,0.0014423226788110742,0.0,0.0,10.0,1.0,13.527829818844937,11822.625701594496
/organization/1world-online,1World Online,http://1worldonline.com,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,4000000,operating,USA,CA,SF Bay Area,San Jose,3,2011-12-01,2013-07-02,2015-08-13,1,Big Data,4000000.0,0.0008741610284336221,0.19888614678042676,0.022697226956341684,57.0,0.12131715771230504,6.0,15.201805169084134,8.828923428551292
/organization/2-minutes,2 Minutes,http://www.2minutes.fr,Games,1660000,operating,FRA,A8,Paris,Paris,1,2000-10-01,2008-06-19,2008-06-19,1,Unknown,1660000.0,7.781055381103987e-06,0.0014423226788110742,0.007433009997398446,8.0,0.3614457831325301,2.0,14.322328762742183,452.42084856750466
/organization/2-ngage-u,2NGageU,http://www.2ngageu.com,Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women,58000,operating,USA,VT,VT - Other,Williston,1,2011-12-26,2012-04-12,2012-04-12,1,Entertainment,58000.0,2.2191825009444737e-05,0.44607972781022986,0.0,0.0,0.0,0.0,10.968215530759236,0.0
/organization/20-20-gene-systems-inc,20/20 Gene Systems Inc.,http://2020gene.com,Biotechnology|Health Diagnostics,4345427,operating,USA,MD,"Washington, D.C.",Rockville,3,2000-05-01,2012-09-25,2015-10-30,1,Health Diagnostics,4345427.0,0.0006166296919758155,0.021114896607199618,0.06689708997658601,48.0,0.04149377593360996,1.0,15.284634815858045,20.38307310748116
/organization/20-20-mobile,20:20 Mobile,http://www.2020mobile.com,Mobile,29750000,operating,IRL,23,IRL - Other,Cree,1,2006-09-01,2008-07-04,2008-07-04,1,Unknown,29750000.0,0.0001394496371011106,0.0014423226788110742,0.027873787490244176,20.0,0.09900990099009901,1.0,17.208339723569356,148.90298587625782
